ID_ENDERECO,TIPO_LOGRADOURO,LOGRADOURO,BAIRRO,CIDADE,ESTADO,GEOLOCALIZACAO
41,Rua,"Barão do Rio Branco","Centro Histórico",Penedo,Alagoas,"POINT(-10.28753 -36.58083)"
42,Rua,Bela,"Senhor do Bonfim",Penedo,Alagoas,"POINT(-10.29341 -36.57303)"
43,Rua,"Belo Horizonte","Dom Constantino",Penedo,Alagoas,"POINT(-10.27967 -36.54709)"
44,Rua,"Boa Vista","Senhor do Bonfim",Penedo,Alagoas,"POINT(-10.29151 -36.5749)"
45,Rua,"Bom Jesus","Santa Luzia",Penedo,Alagoas,"POINT(-10.28576 -36.56302)"
46,Rua,Bomfim,"Santo Antônio",Penedo,Alagoas,"POINT(-10.28125 -36.57965)"
47,Rua,"Brasilia A","Santo Antônio",Penedo,Alagoas,"POINT(-10.28235 -36.58136)"
48,Rua,"Brasilia B","Santo Antônio",Penedo,Alagoas,"POINT(-10.2821 -36.58097)"
49,Rua,"Brasilia C","Santo Antônio",Penedo,Alagoas,"POINT(-10.28242 -36.58052)"
50,Rua,"Brasilia D","Santo Antônio",Penedo,Alagoas,"POINT(-10.28232 -36.58026)"
51,Rua,"Brasilia E","Santo Antônio",Penedo,Alagoas,"POINT(-10.28197 -36.58056)"
53,Rua,"Camartelo do Meio",Centro,Penedo,Alagoas,"POINT(-10.29297 -36.58247)"
54,Rua,"Campo do Vasco","Santa Luzia",Penedo,Alagoas,"POINT(-10.27715 -36.56491)"
55,Rua,"Campos Teixeira",Centro,Penedo,Alagoas,"POINT(-10.29303 -36.58161)"
56,Rua,Canduru,"Santa Izabel",Penedo,Alagoas,"POINT(-10.26942 -36.55872)"
57,Rua,Carpina,"Dom Constantino",Penedo,Alagoas,"POINT(-10.28702 -36.55718)"
58,Rua,"Castro Alves","Senhor do Bonfim",Penedo,Alagoas,"POINT(-10.28421 -36.56514)"
59,Rua,"Coronel Francisco Silva","Santa Luzia",Penedo,Alagoas,"POINT(-10.28267 -36.57265)"
61,Rua,"da Aurora","Santa Luzia",Penedo,Alagoas,"POINT(-10.28151 -36.56284)"
62,Rua,"da Cooperativa","Santa Izabel",Penedo,Alagoas,"POINT(-10.276639506249541 -36.55517821621815)"
63,Rua,"da Esperança","Santa Luzia",Penedo,Alagoas,"POINT(-10.27914 -36.56)"
64,Rua,"da Floresta","Santa Luzia",Penedo,Alagoas,"POINT(-10.27816 -36.56329)"
65,Rua,"da Liberdade","Dom Constantino",Penedo,Alagoas,"POINT(-10.28163 -36.55612)"
66,Rua,"Damaso do Monte","Centro Histórico",Penedo,Alagoas,"POINT(-10.29009 -36.58606)"
67,Rua,"das Bananeiras",Centro,Penedo,Alagoas,"POINT(-10.29353 -36.5822)"
68,Rua,"do Amparo",Centro,Penedo,Alagoas,"POINT(-10.28795 -36.58014)"
69,Rua,"do Arame B","Santo Antônio",Penedo,Alagoas,"POINT(-10.28308 -36.58149)"
70,Rua,"do Bosque","Santa Luzia",Penedo,Alagoas,"POINT(-10.27834 -36.56038)"
71,Rua,"do Canto","Santo Antônio",Penedo,Alagoas,"POINT(-10.28484 -36.58371)"
